"Name","algorithm","alpha","epsilon","epsilon_decay","seed","Episode_return"
"sarsa_alpha0.06905351457513814_epsilon0.07714371513742035_epsilon_decay0.9427006487917324_seed50","sarsa","0.06905351457513814","0.07714371513742035","0.9427006487917324","50","-146"
"sarsa_alpha0.12260194453183426_epsilon0.13495005928237633_epsilon_decay0.959622819513596_seed50","sarsa","0.12260194453183426","0.13495005928237633","0.959622819513596","50","-221"
"sarsa_alpha0.03892097402736147_epsilon0.05605617422926174_epsilon_decay0.9442880991852488_seed20","sarsa","0.03892097402736147","0.05605617422926174","0.9442880991852488","20","-176"
"sarsa_alpha0.033325561837084273_epsilon0.0861988107814989_epsilon_decay0.9435169266306188_seed20","sarsa","0.033325561837084273","0.0861988107814989","0.9435169266306188","20","-181"
"sarsa_alpha0.2243266746853586_epsilon0.11385906178006282_epsilon_decay0.9515062841787376_seed50","sarsa","0.2243266746853586","0.11385906178006282","0.9515062841787376","50","-163"
"sarsa_alpha0.15860060600198733_epsilon0.0732215178710931_epsilon_decay0.9509657706030392_seed50","sarsa","0.15860060600198733","0.0732215178710931","0.9509657706030392","50","-152"
"sarsa_alpha0.09243682898464994_epsilon0.1868643471764676_epsilon_decay0.9385329236577432_seed50","sarsa","0.09243682898464994","0.1868643471764676","0.9385329236577432","50","-228"
"sarsa_alpha0.8556004991653111_epsilon0.04065888559906236_epsilon_decay0.9208454341024622_seed50","sarsa","0.8556004991653111","0.04065888559906236","0.9208454341024622","50","-500"
"sarsa_alpha0.27416636533601896_epsilon0.04220163929803411_epsilon_decay0.9115137114817806_seed10","sarsa","0.27416636533601896","0.04220163929803411","0.9115137114817806","10","-179"
"sarsa_alpha0.9541950618158568_epsilon0.052684841589660435_epsilon_decay0.9725556425536548_seed30","sarsa","0.9541950618158568","0.052684841589660435","0.9725556425536548","30","-500"
"sarsa_alpha0.6747896423991365_epsilon0.10119725240171208_epsilon_decay0.9172832869831348_seed20","sarsa","0.6747896423991365","0.10119725240171208","0.9172832869831348","20","-500"
"sarsa_alpha0.6644029389153766_epsilon0.06678936808098475_epsilon_decay0.9174100077749652_seed50","sarsa","0.6644029389153766","0.06678936808098475","0.9174100077749652","50","-309"
"sarsa_alpha0.8457625320054116_epsilon0.19517030372287633_epsilon_decay0.933817429986953_seed20","sarsa","0.8457625320054116","0.19517030372287633","0.933817429986953","20","-500"
"sarsa_alpha0.023550473355258_epsilon0.09110563043428986_epsilon_decay0.94733535891152_seed40","sarsa","0.023550473355258","0.09110563043428986","0.94733535891152","40","-157"
"sarsa_alpha0.020816488355095197_epsilon0.06773950971685966_epsilon_decay0.94868767823034_seed10","sarsa","0.020816488355095197","0.06773950971685966","0.94868767823034","10","-162"
"sarsa_alpha0.3654388346017847_epsilon0.032432202808210436_epsilon_decay0.914766080816518_seed20","sarsa","0.3654388346017847","0.032432202808210436","0.914766080816518","20","-254"
"sarsa_alpha0.8282909161233445_epsilon0.02621088022228688_epsilon_decay0.9749986285854766_seed50","sarsa","0.8282909161233445","0.02621088022228688","0.9749986285854766","50","-331"
"sarsa_alpha0.8072696953499284_epsilon0.08862739210222657_epsilon_decay0.9893886893467104_seed40","sarsa","0.8072696953499284","0.08862739210222657","0.9893886893467104","40","-387"
"sarsa_alpha0.5817866984484623_epsilon0.03022475998128416_epsilon_decay0.9519375158960364_seed20","sarsa","0.5817866984484623","0.03022475998128416","0.9519375158960364","20","-245"
"sarsa_alpha0.12641831215660013_epsilon0.1044688906851624_epsilon_decay0.933231074688834_seed50","sarsa","0.12641831215660013","0.1044688906851624","0.933231074688834","50","-152"
