"Name","algorithm","alpha","epsilon","epsilon_decay","seed","Total_steps"
"sarsa_alpha0.2642074128624569_epsilon0.06930896378424951_epsilon_decay0.9244750911805402_seed10","sarsa","0.2642074128624569","0.06930896378424951","0.9244750911805402","10","100"
"sarsa_alpha0.8782101573534938_epsilon0.15772403312915428_epsilon_decay0.912439475850366_seed50","sarsa","0.8782101573534938","0.15772403312915428","0.912439475850366","50","9"
"sarsa_alpha0.5414985707026017_epsilon0.03355898005032269_epsilon_decay0.9557609645409147_seed50","sarsa","0.5414985707026017","0.03355898005032269","0.9557609645409147","50","5"
"sarsa_alpha0.3949079966151288_epsilon0.018315714744715807_epsilon_decay0.940209163130172_seed20","sarsa","0.3949079966151288","0.018315714744715807","0.940209163130172","20","100"
"sarsa_alpha0.47381587388557617_epsilon0.14450924770580886_epsilon_decay0.9181159499476088_seed20","sarsa","0.47381587388557617","0.14450924770580886","0.9181159499476088","20","62"
"sarsa_alpha0.09318697188510228_epsilon0.026064083400286292_epsilon_decay0.9323361634277816_seed50","sarsa","0.09318697188510228","0.026064083400286292","0.9323361634277816","50","100"
"sarsa_alpha0.750500020383304_epsilon0.18055826104147368_epsilon_decay0.9103800215907624_seed30","sarsa","0.750500020383304","0.18055826104147368","0.9103800215907624","30","10"
"sarsa_alpha0.12707055080583549_epsilon0.1810454750905076_epsilon_decay0.9716646985770676_seed20","sarsa","0.12707055080583549","0.1810454750905076","0.9716646985770676","20","28"
"sarsa_alpha0.8919249620399106_epsilon0.012363084014899332_epsilon_decay0.923504431167801_seed20","sarsa","0.8919249620399106","0.012363084014899332","0.923504431167801","20","4"
"sarsa_alpha0.7400753970535193_epsilon0.11199299177217124_epsilon_decay0.906773171499756_seed40","sarsa","0.7400753970535193","0.11199299177217124","0.906773171499756","40","100"
"sarsa_alpha0.08111551919998214_epsilon0.19728486780422305_epsilon_decay0.9879582143517922_seed20","sarsa","0.08111551919998214","0.19728486780422305","0.9879582143517922","20","16"
"sarsa_alpha0.17544924020206532_epsilon0.023721298532469536_epsilon_decay0.9174873099986895_seed20","sarsa","0.17544924020206532","0.023721298532469536","0.9174873099986895","20","100"
"sarsa_alpha0.8816301001727934_epsilon0.16525614343637443_epsilon_decay0.9840986967939128_seed30","sarsa","0.8816301001727934","0.16525614343637443","0.9840986967939128","30","24"
"sarsa_alpha0.7141996477462826_epsilon0.07403223817012397_epsilon_decay0.9696674787901008_seed50","sarsa","0.7141996477462826","0.07403223817012397","0.9696674787901008","50","16"
"sarsa_alpha0.46569419146054153_epsilon0.147010275769362_epsilon_decay0.9889820395945442_seed30","sarsa","0.46569419146054153","0.147010275769362","0.9889820395945442","30","7"
"sarsa_alpha0.4095431933779302_epsilon0.14381795005209969_epsilon_decay0.9108420465639092_seed10","sarsa","0.4095431933779302","0.14381795005209969","0.9108420465639092","10","22"
"sarsa_alpha0.9293476299930448_epsilon0.04248225769617241_epsilon_decay0.9708070856914848_seed20","sarsa","0.9293476299930448","0.04248225769617241","0.9708070856914848","20","32"
"sarsa_alpha0.9126928000478788_epsilon0.059474995892061615_epsilon_decay0.9731999143039348_seed20","sarsa","0.9126928000478788","0.059474995892061615","0.9731999143039348","20","40"
"sarsa_alpha0.1038212863267181_epsilon0.10070907863375517_epsilon_decay0.9789247667006756_seed40","sarsa","0.1038212863267181","0.10070907863375517","0.9789247667006756","40","16"
"sarsa_alpha0.8416594868840213_epsilon0.09880045043568254_epsilon_decay0.9632332830262264_seed20","sarsa","0.8416594868840213","0.09880045043568254","0.9632332830262264","20","18"
"sarsa_alpha0.7926890743562416_epsilon0.14484093223172825_epsilon_decay0.9869520810331932_seed50","sarsa","0.7926890743562416","0.14484093223172825","0.9869520810331932","50","18"
"sarsa_alpha0.5698296095342738_epsilon0.1887622907809351_epsilon_decay0.902681911457831_seed20","sarsa","0.5698296095342738","0.1887622907809351","0.902681911457831","20","2"
