"Name","algorithm","alpha","epsilon","epsilon_decay","seed","Episode_return"
"sarsa_alpha0.43995167853763606_epsilon0.1278804399512485_epsilon_decay0.9439406433576822_seed40","sarsa","0.43995167853763606","0.1278804399512485","0.9439406433576822","40","150"
"sarsa_alpha0.7329679171541164_epsilon0.02675323495938655_epsilon_decay0.932413248339946_seed40","sarsa","0.7329679171541164","0.02675323495938655","0.932413248339946","40","16"
"sarsa_alpha0.05127463816951371_epsilon0.16304266306909154_epsilon_decay0.9603836114773472_seed50","sarsa","0.05127463816951371","0.16304266306909154","0.9603836114773472","50","119"
"sarsa_alpha0.978287022749636_epsilon0.02466094511197147_epsilon_decay0.9409913634471576_seed50","sarsa","0.978287022749636","0.02466094511197147","0.9409913634471576","50","45"
"sarsa_alpha0.14966149078297916_epsilon0.05478833671012415_epsilon_decay0.957703744167743_seed30","sarsa","0.14966149078297916","0.05478833671012415","0.957703744167743","30","96"
"sarsa_alpha0.0685349656206308_epsilon0.1879609165427751_epsilon_decay0.9678362559095166_seed40","sarsa","0.0685349656206308","0.1879609165427751","0.9678362559095166","40","99"
"sarsa_alpha0.9217897538804892_epsilon0.04548078673234203_epsilon_decay0.9118639808876716_seed50","sarsa","0.9217897538804892","0.04548078673234203","0.9118639808876716","50","45"
"sarsa_alpha0.7644993853615409_epsilon0.132451298977309_epsilon_decay0.9794678202312734_seed50","sarsa","0.7644993853615409","0.132451298977309","0.9794678202312734","50","96"
"sarsa_alpha0.6441178768564788_epsilon0.07153417208607649_epsilon_decay0.9730365458157364_seed10","sarsa","0.6441178768564788","0.07153417208607649","0.9730365458157364","10","48"
"sarsa_alpha0.7637365437756254_epsilon0.1697900206784468_epsilon_decay0.900766609150071_seed40","sarsa","0.7637365437756254","0.1697900206784468","0.900766609150071","40","13"
"sarsa_alpha0.31805738006182255_epsilon0.030565135228326393_epsilon_decay0.9186808178291108_seed10","sarsa","0.31805738006182255","0.030565135228326393","0.9186808178291108","10","116"
"sarsa_alpha0.7987001757939648_epsilon0.1608567206686678_epsilon_decay0.923176696539928_seed10","sarsa","0.7987001757939648","0.1608567206686678","0.923176696539928","10","87"
"sarsa_alpha0.9890008654611908_epsilon0.14966596568962337_epsilon_decay0.9633116040759846_seed10","sarsa","0.9890008654611908","0.14966596568962337","0.9633116040759846","10","23"
"sarsa_alpha0.5035554689257549_epsilon0.14745590614255455_epsilon_decay0.9737032173076484_seed50","sarsa","0.5035554689257549","0.14745590614255455","0.9737032173076484","50","263"
"sarsa_alpha0.9380403616982236_epsilon0.07993472741064542_epsilon_decay0.942403539900599_seed30","sarsa","0.9380403616982236","0.07993472741064542","0.942403539900599","30","21"
"sarsa_alpha0.4270703416208192_epsilon0.04091095477674795_epsilon_decay0.978908171857915_seed50","sarsa","0.4270703416208192","0.04091095477674795","0.978908171857915","50","195"
"sarsa_alpha0.15615329352948748_epsilon0.09876548290969388_epsilon_decay0.9589328421717728_seed10","sarsa","0.15615329352948748","0.09876548290969388","0.9589328421717728","10","240"
"sarsa_alpha0.9787466434226756_epsilon0.1598356220440957_epsilon_decay0.9895913702035516_seed30","sarsa","0.9787466434226756","0.1598356220440957","0.9895913702035516","30","21"
"sarsa_alpha0.9682526974730468_epsilon0.14154606796199024_epsilon_decay0.9300029114013996_seed20","sarsa","0.9682526974730468","0.14154606796199024","0.9300029114013996","20","15"
"sarsa_alpha0.36690268601720594_epsilon0.11639380795006378_epsilon_decay0.9117733779119817_seed20","sarsa","0.36690268601720594","0.11639380795006378","0.9117733779119817","20","196"
"sarsa_alpha0.8914364384082298_epsilon0.08105385710547246_epsilon_decay0.9322595493801824_seed50","sarsa","0.8914364384082298","0.08105385710547246","0.9322595493801824","50","44"
"sarsa_alpha0.9194620651777776_epsilon0.10525245201327206_epsilon_decay0.94435183388383_seed30","sarsa","0.9194620651777776","0.10525245201327206","0.94435183388383","30","17"
"sarsa_alpha0.4461852943096867_epsilon0.06815191154766789_epsilon_decay0.9063360183826648_seed40","sarsa","0.4461852943096867","0.06815191154766789","0.9063360183826648","40","116"
"sarsa_alpha0.16179411262544754_epsilon0.1183157349434312_epsilon_decay0.9072237287146973_seed10","sarsa","0.16179411262544754","0.1183157349434312","0.9072237287146973","10","141"
"sarsa_alpha0.0912807356658997_epsilon0.021740451025166287_epsilon_decay0.9812453313494098_seed40","sarsa","0.0912807356658997","0.021740451025166287","0.9812453313494098","40","47"
"sarsa_alpha0.32797649704648035_epsilon0.117593255899723_epsilon_decay0.920116510793985_seed20","sarsa","0.32797649704648035","0.117593255899723","0.920116510793985","20","183"
"sarsa_alpha0.34960990732958686_epsilon0.04864666024268066_epsilon_decay0.9288752881505756_seed50","sarsa","0.34960990732958686","0.04864666024268066","0.9288752881505756","50","175"
